,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
1225,IC1165 NED02,16:02:08.64,+15:41:35.4,0.63,0.54,171.0,,,,
1226,IC1166,16:02:08.90,+26:19:38.0,0.6,,,,,,
1227,IC1166 NED01,16:02:08.92,+26:19:45.6,0.53,0.31,52.0,,,,
1228,IC1166 NED02,16:02:08.83,+26:19:31.2,0.41,0.28,152.0,,,,
1229,IC1167,16:03:52.86,+14:56:47.2,0.62,0.55,117.0,,,,
1230,IC1168,16:03:55.69,+14:54:08.7,1.32,0.56,169.0,,,,
1231,IC1169,16:04:13.43,+13:44:38.5,1.06,0.72,10.0,,,,
1232,IC1170,16:04:31.69,+17:43:17.3,0.5,0.28,84.0,,,,
1233,IC1171,16:04:51.84,+17:58:41.6,,,,,,,
1234,IC1172,16:04:59.68,+17:52:13.3,,,,,6044,,
1235,IC1173,16:05:12.56,+17:25:22.3,0.92,0.45,63.0,,,,
1236,IC1174,16:05:26.82,+15:01:31.2,1.03,0.75,51.0,,,,
1237,IC1175,16:05:22.62,+18:09:47.2,,,,,,,
1238,IC1176,16:05:31.28,+17:57:49.1,,,,,6056,,
1239,IC1177,16:05:19.79,+18:18:55.3,0.54,0.41,164.0,,,,
1240,IC1178,16:05:33.12,+17:36:05.2,1.34,0.66,145.0,,,,
1241,IC1179,16:05:22.22,+17:45:15.1,,,,,6050B,,
1242,IC1180,16:05:30.11,+18:08:58.8,,,,,,,
1243,IC1181,16:05:33.85,+17:35:37.3,1.01,0.73,58.0,,,,
1244,IC1182,16:05:36.80,+17:48:07.7,0.84,0.68,80.0,,,,
1245,IC1183,16:05:38.15,+17:46:04.4,,,,,6054,,
1246,IC1184,16:05:42.80,+17:47:24.0,,,,,,,
1247,IC1185,16:05:44.69,+17:43:01.3,0.74,0.54,8.0,,,,
1248,IC1186,16:05:44.22,+17:21:43.8,0.78,0.48,5.0,,,,
1249,IC1187,15:59:10.18,+70:33:25.1,0.35,0.22,100.0,,,,
1250,IC1188,16:06:07.68,+17:27:36.0,0.7,,,,,,
1251,IC1188A,16:06:07.30,+17:27:38.9,0.55,0.41,8.0,,,,
1252,IC1188B,16:06:08.28,+17:27:41.9,0.28,0.18,47.0,,,,
1253,IC1189,16:06:14.83,+18:10:58.4,0.79,0.56,179.0,,,,
1254,IC1190,16:05:52.41,+18:13:13.9,1.28,0.35,119.0,,,,
1255,IC1191,16:06:28.75,+18:16:04.4,0.7,,,,,,
1256,IC1191 NED01,16:06:28.99,+18:16:04.3,0.71,0.16,163.0,,,,
1257,IC1191 NED02,16:06:29.70,+18:16:04.3,0.4,0.21,153.0,,,,
1258,IC1192,16:06:33.13,+17:46:32.3,0.91,0.43,114.0,,,,
1259,IC1193,16:06:32.20,+17:42:49.9,0.78,0.65,2.0,,,,
1260,IC1194,16:06:39.35,+17:45:40.3,0.64,0.49,20.0,,,,
1261,IC1195,16:06:40.88,+17:11:30.5,0.61,0.43,13.0,,,,
1262,IC1196,16:07:58.37,+10:46:46.7,1.04,0.51,5.0,,,,
1263,IC1197,16:08:17.27,+07:32:18.6,2.56,0.54,57.0,,,,
1264,IC1198,16:08:36.37,+12:19:51.4,0.79,0.41,111.0,,,,
1265,IC1199,16:10:34.35,+10:02:25.3,1.19,0.42,158.0,,,,
1266,IC1200,16:04:29.21,+69:39:56.8,,,,,6079,,
1267,IC1201,16:05:41.65,+69:35:37.7,0.68,0.22,114.0,,,,
1268,IC1202,16:12:56.86,+09:52:01.6,,,,,6081,,
1269,IC1203,16:15:16.00,-22:22:14.1,3.5,2.0,,,,,
1270,IC1204,16:07:15.48,+69:55:53.3,0.65,0.3,65.0,,,,
1271,IC1205,16:14:15.92,+09:32:13.9,0.69,0.59,110.0,,,,
1272,IC1206,16:15:13.07,+11:17:50.6,1.12,0.64,2.0,,,,
1273,IC1207,16:19:26.72,-29:39:04.0,2.0,0.5,,,,,
1274,IC1208,16:15:47.89,+36:31:38.4,1.25,0.32,95.0,,,,
1275,IC1209,16:18:39.62,+15:33:30.1,1.36,0.88,3.0,,,,
1276,IC1210,16:14:30.15,+62:32:12.1,1.38,0.42,169.0,,,,
1277,IC1211,16:16:51.98,+53:00:21.7,1.34,1.25,65.0,,,,
1278,IC1212,16:15:30.75,+64:13:29.3,0.77,0.66,5.0,,,,
1279,IC1213,16:22:10.30,-01:30:53.5,,,,,6172,,
1280,IC1214,16:16:11.70,+65:58:07.6,1.05,0.44,17.0,,,,
1281,IC1215,16:15:35.13,+68:23:51.6,0.91,0.68,163.0,,,,
1282,IC1216,16:15:55.38,+68:20:59.6,0.75,0.63,49.0,,,,
1283,IC1217,16:16:04.10,+69:40:35.4,,,,,,,
1284,IC1218,16:16:37.10,+68:12:09.5,0.92,0.92,60.0,,,,
1285,IC1219,16:24:27.45,+19:28:57.3,1.31,0.52,122.0,,,,
1286,IC1220,16:29:38.30,+08:27:02.6,1.24,1.17,142.0,,,,
1287,IC1221,16:34:41.63,+46:23:31.4,1.0,0.92,35.0,,,,
1288,IC1222,16:35:09.20,+46:12:50.1,1.51,1.12,49.0,,,,
1289,IC1223,16:35:42.46,+49:13:13.9,0.82,0.6,20.0,,,,
1290,IC1224,16:42:56.29,+19:15:15.7,1.28,0.84,87.0,,,,
1291,IC1225,16:36:52.52,+67:37:45.9,1.37,0.45,71.0,,,,
1292,IC1226,16:41:06.57,+46:00:14.6,0.57,0.5,53.0,,,1232,
1293,IC1227,16:40:07.90,+58:37:02.5,,,,,6206,,
1294,IC1228,16:42:06.48,+65:35:07.8,1.32,0.71,122.0,,,,
1295,IC1229,16:44:58.82,+51:18:29.1,0.44,0.17,106.0,,,,
1296,IC1230,16:45:01.48,+51:15:34.5,0.92,0.59,159.0,,,,
1297,IC1231,16:46:59.02,+58:25:23.4,1.88,0.86,153.0,,,,
1298,IC1232,16:41:06.57,+46:00:14.6,,,,,,1226,
1299,IC1233,16:48:20.24,+62:58:35.1,,,,,6247,,
1300,IC1234,16:52:50.91,+56:52:40.0,,,,,,,
1301,IC1235,16:52:03.63,+63:06:56.9,0.76,0.53,13.0,,,,
1302,IC1236,16:58:29.60,+20:02:29.3,1.17,1.07,146.0,,,,
1303,IC1237,16:56:16.05,+55:01:35.3,1.97,0.58,22.0,,,,
1304,IC1238,17:00:30.15,+23:04:36.3,,,,,,,
1305,IC1239,17:00:45.09,+23:02:38.4,,,,,6276,,
1306,IC1240,17:00:58.87,+61:03:01.6,,,,,,,
1307,IC1241,17:01:28.22,+63:41:28.0,1.16,0.93,59.0,,,,
1308,IC1242,17:08:42.88,+04:02:59.6,0.84,0.51,120.0,,,,
1309,IC1243,17:10:24.55,+10:45:59.8,,,,,,,
1310,IC1244,17:10:33.71,+36:18:11.9,1.13,1.13,130.0,,,,
1311,IC1245,17:12:36.60,+38:01:13.6,1.85,0.97,126.0,,,,
1312,IC1246,17:14:12.28,+20:14:14.3,,,,,,,
1313,IC1247,17:16:22.14,-12:46:51.2,,,,,,,
1314,IC1248,17:11:40.18,+59:59:44.2,0.82,0.64,17.0,,,,
1315,IC1249,17:14:55.12,+35:31:12.4,0.24,0.22,147.0,,,,
1316,IC1250,17:14:29.17,+57:25:00.4,0.59,0.3,70.0,,,,
1317,IC1251,17:10:12.90,+72:24:37.8,1.21,0.64,67.0,,,,
1318,IC1252,17:15:50.38,+57:22:00.5,1.06,0.32,141.0,,,4649,
1319,IC1253,17:19:54.67,+16:39:38.5,,,,,6347,,
1320,IC1254,17:11:33.41,+72:24:07.2,0.91,0.54,38.0,,,,
1321,IC1255,17:23:05.39,+12:41:43.6,0.98,0.48,11.0,,,,
1322,IC1256,17:23:47.31,+26:29:11.5,1.28,0.75,93.0,,,,
1323,IC1257,17:27:08.38,-07:05:35.1,3.3,,,,,,
1324,IC1258,17:27:17.38,+58:29:07.7,0.91,0.72,65.0,,,,
1325,IC1259,17:27:25.80,+58:31:00.0,0.9,,,,,,
1326,IC1259 NED01,17:27:24.71,+58:31:00.9,0.91,0.59,152.0,,,,
1327,IC1259 NED02,17:27:26.78,+58:30:59.6,1.11,1.06,35.0,,,,
1328,IC1260,17:27:31.72,+58:28:33.1,0.42,0.34,138.0,,,,
1329,IC1261,17:23:23.36,+71:15:49.1,1.1,,,,,,
1330,IC1261 NED01,17:23:26.12,+71:15:46.1,0.84,0.68,63.0,,,,
1331,IC1261 NED02,17:23:20.88,+71:15:51.7,0.69,0.61,0.0,,,,
1332,IC1262,17:33:02.02,+43:45:34.6,1.64,0.82,84.0,,,,
1333,IC1263,17:33:07.20,+43:49:19.5,1.63,0.68,178.0,,,,
1334,IC1264,17:33:16.84,+43:37:45.2,1.37,1.22,60.0,,,,
1335,IC1265,17:36:39.43,+42:05:18.3,1.85,0.81,78.0,,,,
1336,IC1266,17:45:35.30,-46:05:23.5,0.16,,,,,,
1337,IC1267,17:38:45.89,+59:22:23.3,1.38,0.95,55.0,,,,
1338,IC1268,17:50:39.29,+17:12:34.0,0.66,0.49,90.0,,,,
1339,IC1269,17:52:06.00,+21:34:10.7,1.32,0.85,135.0,,,,
1340,IC1270,17:47:57.00,+62:13:24.4,,,,,,,
1341,IC1271,18:05:13.11,-24:24:37.9,,,,,,,
1342,IC1272,18:04:55.75,+25:07:45.1,,,,,,,
1343,IC1273,18:05:02.75,+25:07:55.6,,,,,,,
1344,IC1274,18:09:51.03,-23:38:53.6,20.0,5.0,,,,,
1345,IC1275,18:10:07.19,-23:45:40.4,,,,,,,
1346,IC1276,18:10:44.27,-07:12:27.3,9.6,,,,,,
1347,IC1277,18:10:27.29,+31:00:11.4,0.98,0.67,21.0,,,,
1348,IC1278,18:10:41.65,+31:08:59.7,,,,,,,
1349,IC1279,18:11:15.38,+36:00:28.0,2.34,0.59,159.0,,,,
1350,IC1280,18:12:18.42,+25:39:44.5,,,,,6581,,
1351,IC1281,18:11:38.10,+35:59:32.0,1.3,,,,,,
1352,IC1281 NED01,18:11:38.02,+35:59:14.7,0.54,0.31,26.0,,,,
1353,IC1281 NED02,18:11:38.16,+35:59:50.1,0.57,0.38,15.0,,,,
1354,IC1282,18:14:05.25,+21:06:07.9,,,,,,,
1355,IC1283,18:17:16.85,-19:45:44.0,15.0,15.0,,,,,
1356,IC1284,18:17:39.63,-19:40:19.3,16.98,15.14,,,,,
1357,IC1285,18:16:10.17,+25:06:01.2,,,,,,,
1358,IC1286,18:16:14.27,+55:35:27.6,1.42,0.44,86.0,,,,
1359,IC1287,18:31:25.69,-10:47:44.9,20.0,10.0,,,,,
1360,IC1288,18:29:22.46,+39:42:48.1,1.09,0.61,5.0,,,,
1361,IC1289,18:30:02.29,+39:57:50.5,0.66,0.33,145.0,,,,
1362,IC1290,18:38:35.31,-24:05:48.6,,,,,,,
1363,IC1291,18:33:52.57,+49:16:43.0,1.33,1.15,17.0,,,,
1364,IC1292,18:44:40.45,-27:48:58.6,,,,,,,
1365,IC1293,18:41:36.65,+56:19:04.0,,,,,,,
1366,IC1294,18:49:50.45,+40:12:33.8,,,,,,,
1367,IC1295,18:54:37.13,-08:49:37.3,1.5,,,,,,
1368,IC1296,18:53:18.83,+33:03:59.7,0.99,0.53,69.0,,,,
1369,IC1297,19:17:23.40,-39:36:47.0,0.12,,,,,,
1370,IC1298,19:18:35.69,-01:35:46.3,,,,,,,
1371,IC1299,19:22:42.03,+20:44:22.4,2.0,1.0,,,,,
1372,IC1300,19:24:03.17,+53:37:29.2,,,,,6798,,
1373,IC1301,19:26:31.98,+50:07:31.0,1.44,0.69,19.0,,,4867,
1374,IC1302,19:30:52.89,+35:47:06.9,0.95,0.51,50.0,,,,
1375,IC1303,19:31:30.06,+35:52:35.8,1.18,0.73,104.0,,,,
1376,IC1304,19:35:34.49,+41:06:42.6,,,,,,,
1377,IC1305,19:39:17.10,+20:11:39.4,,,,,,,
1378,IC1306,19:41:41.19,+37:41:06.7,,,,,,,
1379,IC1307,19:42:32.10,+27:45:09.5,,,,,,,
1380,IC1308,19:45:05.24,-14:43:12.9,,,,,,,
1381,IC1309,20:03:01.52,-17:13:55.5,0.87,0.64,58.0,,,,
1382,IC1310,20:10:00.98,+34:58:08.0,15.0,3.0,,,,,
1383,IC1311,20:10:47.82,+41:10:26.2,6.3,,,,,,
1384,IC1312,20:16:51.50,+18:02:45.5,,,,,,,
1385,IC1313,20:18:43.66,-16:56:45.5,1.61,1.02,26.0,,,,
1386,IC1314,20:17:50.00,+25:05:23.2,,,,,,,
1387,IC1315,20:17:21.95,+30:41:20.7,,,,,,,
1388,IC1316,20:22:25.84,+06:30:06.1,,,,,,,
1389,IC1317,20:23:15.59,+00:39:53.0,0.76,0.57,98.0,,,,
1390,IC1318,20:22:13.69,+40:15:24.1,,,,,,,gam Cyg
1391,IC1319,20:26:01.93,-18:30:14.7,0.79,0.49,8.0,,,,
1392,IC1320,20:26:25.66,+02:54:35.0,1.07,0.61,87.0,,,,
1393,IC1321,20:28:11.05,-18:17:29.4,1.1,0.71,96.0,,,,
1394,IC1322,20:30:08.48,-15:13:40.2,1.1,0.56,114.0,,,,
1395,IC1323,20:30:29.00,-15:10:55.0,,,,,,,
1396,IC1324,20:32:12.31,-09:03:22.0,1.25,1.12,55.0,,,,
1397,IC1325,20:32:50.22,+09:55:35.1,,,,,6928,,
1398,IC1326,,,,,,,,,
1399,IC1327,20:35:41.27,-00:00:20.8,0.93,0.9,15.0,,,,
1400,IC1328,20:41:57.04,-19:37:59.0,0.89,0.36,50.0,,,,
1401,IC1329,20:43:42.11,+15:35:50.7,,,,,,,
1402,IC1330,20:46:14.94,-14:01:23.6,1.25,0.41,109.0,,,,
1403,IC1331,20:47:48.77,-09:59:45.4,1.75,0.49,85.0,,,,
1404,IC1332,20:51:51.39,-13:42:41.5,1.16,0.69,64.0,,,,
1405,IC1333,20:52:17.20,-16:17:08.7,1.37,0.73,83.0,,,1334,
1406,IC1334,20:52:17.20,-16:17:08.7,,,,,,1333,
1407,IC1335,20:53:06.12,-16:20:07.6,0.89,0.64,16.0,,,,
1408,IC1336,20:55:04.92,-18:02:19.4,0.86,0.49,44.0,,,,
1409,IC1337,20:56:52.70,-16:35:09.0,0.84,0.61,16.0,,,,
1410,IC1338,20:56:57.84,-16:29:33.4,0.76,0.5,6.0,,,,
1411,IC1339,20:57:55.52,-17:56:34.2,1.51,0.94,49.0,,,,
1412,IC1340,20:56:08.25,+31:02:52.3,25.12,19.95,,,,,
1413,IC1341,21:00:16.68,-13:58:34.8,0.95,0.53,61.0,,,,
1414,IC1342,21:00:25.44,-14:29:45.1,1.08,0.41,74.0,,,,
1415,IC1343,21:01:00.66,-15:24:13.3,1.02,0.43,173.0,,,,
1416,IC1344,21:01:16.45,-13:22:49.0,1.15,0.52,50.0,,,,
1417,IC1345,21:01:22.20,-13:23:51.4,0.48,0.41,158.0,,,,
1418,IC1346,21:01:37.02,-13:57:38.5,1.23,0.62,98.0,,,,
1419,IC1347,21:01:44.39,-13:18:47.9,1.42,0.65,2.0,,,,
1420,IC1348,21:01:44.11,-13:21:28.8,0.37,0.26,155.0,,,,
1421,IC1349,21:01:50.45,-13:15:55.8,0.72,0.43,51.0,,,,
1422,IC1350,21:01:52.29,-13:51:09.6,0.91,0.56,160.0,,,1354,
1423,IC1351,21:01:52.44,-13:12:06.7,0.74,0.23,25.0,,,,
1424,IC1352,21:01:54.90,-13:23:02.7,0.5,0.3,30.0,,,,
1425,IC1353,21:01:56.32,-13:16:22.2,0.45,0.35,134.0,,,,
1426,IC1354,21:01:52.29,-13:51:09.6,,,,,,1350,
1427,IC1355,21:01:58.39,-13:10:22.8,0.4,0.34,50.0,,,,
1428,IC1356,21:02:53.00,-15:48:41.7,0.82,0.58,163.0,,,,
1429,IC1357,21:05:57.31,-10:42:58.5,1.28,0.48,38.0,,,,
1430,IC1358,21:06:29.41,-16:12:16.0,0.5,0.23,38.0,,,,
1431,IC1359,21:08:43.02,+12:29:03.4,1.16,0.49,171.0,,,,
1432,IC1360,21:10:50.32,+05:04:16.9,0.8,0.4,20.0,,,,
1433,IC1361,21:11:29.14,+05:03:15.6,0.78,0.55,48.0,,,,
1434,IC1362,21:11:52.65,+02:19:44.3,0.62,0.45,167.0,,,,
1435,IC1363,21:10:40.42,+46:52:12.2,,,,,,,
1436,IC1364,21:13:24.68,+02:46:11.0,1.07,0.78,124.0,,,,
1437,IC1365,21:13:55.91,+02:33:55.4,1.0,,,,,,
1438,IC1365 NED01,21:13:55.92,+02:33:55.4,1.66,0.85,57.0,,,,
1439,IC1365 NED02,21:13:54.66,+02:33:49.7,1.38,0.81,74.0,,,,
1440,IC1366,21:14:08.02,+01:46:34.0,0.81,0.41,23.0,,,,
1441,IC1367,21:14:09.70,+02:59:37.7,0.65,0.5,152.0,,,,
1442,IC1368,21:14:12.59,+02:10:40.8,1.36,0.52,47.0,,,,
1443,IC1369,21:12:09.04,+47:46:06.6,5.1,,,,,,
1444,IC1370,21:15:14.27,+02:11:31.3,0.66,0.49,54.0,,,,
1445,IC1371,21:20:15.65,-04:52:35.5,1.42,0.83,13.0,,,,
1446,IC1372,21:20:17.09,-05:36:16.5,0.83,0.63,127.0,,,,
1447,IC1373,21:20:37.25,+01:05:32.7,0.89,0.61,38.0,,,,
1448,IC1374,21:21:02.65,+01:42:46.7,0.63,0.44,113.0,,,,
1449,IC1375,21:20:59.79,+03:59:07.5,0.58,0.37,125.0,,,,
1450,IC1376,21:24:41.10,-05:44:32.8,,,,,,,
1451,IC1377,21:25:26.63,+04:18:51.2,0.73,0.56,118.0,,,,
1452,IC1378,21:22:51.71,+55:27:51.5,,,,,,,
1453,IC1379,21:26:01.26,+03:05:50.6,0.59,0.47,132.0,,,,
1454,IC1380,21:27:11.01,+02:43:03.6,0.68,0.58,145.0,,,,
1455,IC1381,21:27:33.70,-01:11:19.0,0.9,0.59,69.0,,,,
1456,IC1382,21:22:07.56,+18:39:56.4,,,,,7056,,
1457,IC1383,21:27:39.64,-01:06:07.8,0.62,0.22,126.0,,,,
1458,IC1384,21:27:53.07,-01:22:06.8,0.77,0.63,63.0,,,,
1459,IC1385,21:28:51.19,-01:04:12.4,0.59,0.53,141.0,,,,
1460,IC1386,21:29:37.43,-21:11:44.5,0.97,0.77,131.0,,,,
1461,IC1387,21:29:34.47,-01:21:03.3,0.48,0.46,15.0,,,,
1462,IC1388,21:29:52.18,-00:37:52.6,0.82,0.41,137.0,,,,
1463,IC1389,21:32:07.84,-18:01:06.1,0.81,0.49,119.0,,,,
1464,IC1390,21:32:24.78,-01:51:45.1,0.65,0.61,102.0,,,,
1465,IC1391,21:35:00.40,-00:30:41.2,0.64,0.49,84.0,,,,
1466,IC1392,21:35:32.69,+35:23:54.0,1.53,1.22,73.0,,,,
1467,IC1393,21:40:14.25,-22:24:41.0,0.74,0.48,175.0,,,,
1468,IC1394,21:40:13.03,+14:37:58.9,1.23,1.15,37.0,,,,
1469,IC1395,21:41:41.41,+04:06:16.3,0.74,0.68,85.0,,,,
1470,IC1396,21:38:57.62,+57:29:20.6,14.0,4.0,,,,,
1471,IC1397,21:44:02.31,-04:53:05.3,0.85,0.52,172.0,,,,
1472,IC1398,21:45:51.43,+09:28:31.2,0.76,0.43,70.0,,,,
1473,IC1399,21:46:08.91,+04:24:08.0,0.68,0.46,162.0,,,,
1474,IC1400,21:44:16.28,+52:58:01.3,,,,,,,
1475,IC1401,21:46:59.49,+01:42:45.9,1.68,0.56,180.0,,,,
1476,IC1402,21:44:58.97,+53:15:45.0,,,,,,,
1477,IC1403,21:50:29.08,-02:42:58.2,0.49,0.35,153.0,,,,
1478,IC1404,21:50:56.38,-09:15:59.7,0.97,0.81,47.0,,,,
1479,IC1405,21:50:49.84,+02:01:14.9,0.87,0.63,117.0,,,,
1480,IC1406,21:51:04.87,+01:59:13.4,0.62,0.47,65.0,,,,
1481,IC1407,21:52:23.44,+03:25:37.8,0.76,0.56,84.0,,,,
1482,IC1408,21:53:09.02,-13:20:48.4,1.0,0.52,33.0,,,,
1483,IC1409,21:53:19.60,-07:29:59.5,0.69,0.43,28.0,,,,
1484,IC1410,21:56:02.14,-02:54:01.0,0.83,0.54,132.0,,,,
1485,IC1411,21:56:00.59,-01:31:01.4,0.87,0.56,36.0,,,,
1486,IC1412,21:58:18.46,-17:10:34.2,1.27,0.71,102.0,,,,
1487,IC1413,21:58:26.61,-03:06:08.7,0.93,0.26,74.0,,,,
1488,IC1414,21:58:18.05,+08:25:25.7,0.47,0.4,5.0,,,,
1489,IC1415,21:58:42.64,+01:21:01.3,,,,,,,
1490,IC1416,21:58:49.48,+01:27:05.6,,,,,,,
1491,IC1417,22:00:21.61,-13:08:50.5,1.65,0.54,110.0,,,,
1492,IC1418,22:01:59.92,+04:23:03.6,0.86,0.86,160.0,,,,
1493,IC1419,22:02:58.84,-09:55:15.5,0.54,0.3,164.0,,,,
1494,IC1420,22:02:31.97,+19:45:00.4,1.3,,,,,,
1495,IC1420 NED01,22:02:31.30,+19:45:01.3,1.32,1.07,0.0,,,,
1496,IC1420 NED02,22:02:32.28,+19:45:00.4,0.86,0.6,90.0,,,,
1497,IC1421,22:03:04.03,-09:58:41.4,0.63,0.57,5.0,,,,
1498,IC1422,22:03:00.06,+02:35:56.0,0.46,0.3,142.0,,,,
1499,IC1423,22:03:12.69,+04:17:51.3,0.92,0.44,40.0,,,,
1500,IC1424,22:03:09.39,+11:11:49.7,,,,,,,
1501,IC1425,22:03:24.51,+02:35:41.7,0.79,0.62,98.0,,,,
1502,IC1426,22:03:51.28,-09:55:09.5,,,,,,,
1503,IC1427,22:03:35.16,+15:06:24.4,1.14,0.83,103.0,,,,
1504,IC1428,22:04:27.67,+02:37:51.1,0.71,0.37,61.0,,,,
1505,IC1429,22:07:02.45,+10:06:33.2,,,,,,,
1506,IC1430,22:07:29.82,-13:34:52.3,0.56,0.47,55.0,,,,
1507,IC1431,22:07:39.60,-13:30:48.2,0.75,0.7,20.0,,,,
1508,IC1432,22:10:03.97,+03:41:22.5,0.44,0.28,30.0,,,,
1509,IC1433,22:12:10.20,-12:45:55.0,1.0,,,,,,
1510,IC1433 NED01,22:12:10.64,-12:45:56.1,0.83,0.41,99.0,,,,
1511,IC1433 NED02,22:12:09.85,-12:45:56.2,0.18,0.15,90.0,,,,
1512,IC1433 NED03,22:12:09.22,-12:45:47.3,0.21,0.19,111.0,,,,
1513,IC1434,22:10:42.16,+52:51:00.3,4.8,,,,,,
1514,IC1435,22:13:26.29,-22:05:48.1,1.07,0.65,9.0,,,,
1515,IC1436,22:13:51.44,-10:11:30.4,0.56,0.42,57.0,,,,
1516,IC1437,22:15:44.99,+02:03:57.4,1.08,0.94,52.0,,,,
1517,IC1438,22:16:29.09,-21:25:50.5,2.33,2.16,119.0,,,,
1518,IC1439,22:16:40.14,-21:29:09.4,1.25,0.65,28.0,,,,
1519,IC1440,22:16:33.22,-16:00:59.2,1.67,0.48,76.0,,,,
1520,IC1441,22:15:19.14,+37:18:05.4,1.07,0.58,38.0,,,,
1521,IC1442,22:16:01.33,+53:59:28.8,4.2,,,,,,
1522,IC1443,22:19:03.66,-20:56:23.7,1.55,1.21,42.0,,,,
1523,IC1444,22:22:23.92,+05:08:21.0,0.58,0.37,5.0,,,,
1524,IC1445,22:25:30.33,-17:14:35.9,1.41,1.15,87.0,,,,
1525,IC1446,22:29:04.70,-01:11:05.7,0.78,0.49,29.0,,,,
1526,IC1447,22:29:59.80,-05:07:11.6,1.48,0.77,95.0,,,,
1527,IC1448,22:34:32.14,-12:56:01.9,,,,,7308,,
1528,IC1449,22:35:07.00,-08:45:55.2,0.57,0.34,48.0,,,,
1529,IC1450,22:37:57.93,+34:32:07.8,,,,,,,
1530,IC1451,22:46:07.46,-10:22:09.9,0.91,0.87,46.0,,,,
1531,IC1452,22:45:59.19,+10:52:03.0,,,,,7374B,,
1532,IC1453,22:46:54.23,-13:26:58.6,0.84,0.71,158.0,,,,
1533,IC1454,22:42:25.01,+80:26:32.0,0.47,,,,,,
1534,IC1455,22:53:46.06,+01:22:19.1,1.0,0.56,40.0,,,,
1535,IC1456,22:55:18.19,-12:43:55.2,0.95,0.21,125.0,,,,
1536,IC1457,22:55:23.76,-05:33:45.9,,,,,,,
1537,IC1458,22:56:41.38,-07:22:44.6,,,,,7441,,
1538,IC1459,22:57:10.61,-36:27:44.0,4.61,3.23,43.0,,,5265,
1539,IC1460,22:57:04.08,+04:40:37.3,0.61,0.48,158.0,,,,
1540,IC1461,22:58:34.30,+15:10:22.0,0.6,0.55,12.0,,,,
1541,IC1462,22:58:37.15,+08:26:28.7,,,,,,,
1542,IC1463,22:59:20.93,-10:31:51.1,,,,,,,
1543,IC1464,23:03:11.60,-08:59:27.0,1.2,,,,,,
1544,IC1464A,23:03:12.08,-08:59:34.7,0.26,0.15,81.0,,,,
1545,IC1464B,23:03:11.04,-08:59:21.0,0.68,0.45,135.0,,,,
1546,IC1465,23:02:53.20,+16:34:56.9,,,,,,,
1547,IC1466,23:03:39.05,-02:46:31.6,0.6,0.5,124.0,,,,
1548,IC1467,23:04:49.71,-03:13:47.8,0.79,0.38,3.0,,,,
1549,IC1468,23:05:07.57,-03:12:16.2,1.06,0.49,171.0,,,,
1550,IC1469,23:06:28.67,-13:32:11.7,0.45,0.36,105.0,,,,
1551,IC1470,23:05:10.21,+60:14:38.7,1.8,1.8,90.0,,,,
1552,IC1471,23:08:44.85,-12:38:22.0,1.07,0.65,169.0,,,,
1553,IC1472,23:09:06.68,+17:15:32.9,1.01,0.6,60.0,,,,
1554,IC1473,23:11:05.41,+29:38:36.4,1.74,0.85,176.0,,,,
1555,IC1474,23:12:51.27,+05:48:22.9,1.04,0.48,149.0,,,,
1556,IC1475,23:14:02.22,-28:25:20.8,,,,,,,
1557,IC1476,23:14:16.35,+30:33:05.3,0.91,0.91,165.0,,,,
1558,IC1477,23:17:12.00,-06:54:43.2,,,,,7596,,
1559,IC1478,23:18:13.92,+10:17:53.9,,,,,7594,,
1560,IC1479,23:18:46.41,-10:23:57.3,1.16,0.96,25.0,,,,
1561,IC1480,23:18:59.24,+11:20:30.2,,,,,7607,,
1562,IC1481,23:19:25.12,+05:54:22.2,0.73,0.65,45.0,,,,
1563,IC1482,23:20:49.52,+01:44:20.5,0.81,0.63,135.0,,,,
1564,IC1483,23:22:33.12,+11:19:43.7,,,,,7638,,
1565,IC1484,23:22:39.94,+11:23:04.1,0.62,0.32,49.0,,,,
1566,IC1485,23:22:48.23,+11:22:22.3,,,,,7639,,
1567,IC1486,23:23:54.02,+09:40:02.9,,,,,7648,,
1568,IC1487,23:24:20.09,+14:38:49.7,,,,,7649,,
1569,IC1488,23:25:38.55,+15:21:15.9,1.08,0.24,172.0,,,,
1570,IC1489,23:26:32.13,-12:30:59.4,0.54,0.52,25.0,,,,
1571,IC1490,23:59:10.72,-04:07:37.2,1.45,0.84,83.0,,,1524,
1572,IC1491,23:29:24.69,-16:18:59.8,0.77,0.42,150.0,,,,
1573,IC1492,23:30:36.10,-03:02:23.7,1.47,1.11,32.0,,,,
1574,IC1493,23:30:27.51,+14:27:31.9,0.52,0.29,135.0,,,,
1575,IC1494,23:30:46.14,-12:43:28.3,0.73,0.34,125.0,,,,
1576,IC1495,23:30:47.74,-13:29:07.6,1.33,0.83,25.0,,,5327,
1577,IC1496,23:30:53.51,-02:56:03.5,1.65,1.22,65.0,,,,
1578,IC1497,23:28:50.09,+11:59:13.2,,,,,,,
1579,IC1498,23:31:53.65,-05:00:25.1,2.24,0.57,3.0,,,,
1580,IC1499,23:31:57.03,-13:26:22.9,,,,,,,
1581,IC1500,23:33:09.36,+04:33:09.1,0.47,0.38,20.0,,,,
1582,IC1501,23:34:40.06,-03:09:10.2,1.48,0.67,133.0,,,,
