,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
81,IC0080 NED02,01:08:51.13,-15:24:22.7,1.5,1.06,50.0,,,,
82,IC0081,01:09:22.26,-01:41:45.1,1.17,0.91,145.0,,,,
83,IC0082,01:09:05.79,-16:00:01.1,0.91,0.83,93.0,,,,
84,IC0083,01:10:29.78,+01:41:21.7,0.68,0.45,114.0,,,,
85,IC0084,01:11:25.60,+01:38:24.7,0.67,0.43,12.0,,,,
86,IC0085,01:11:49.55,-00:27:08.9,,,,,,,
87,IC0086,01:13:28.52,-16:14:30.0,0.72,0.34,142.0,,,,
88,IC0087,01:14:15.79,+00:45:55.2,0.69,0.63,66.0,,,,
89,IC0088,01:14:31.30,+00:47:30.3,0.53,0.44,129.0,,,,
90,IC0089,01:16:03.61,+04:17:38.8,,,,,0446,,
91,IC0090,01:16:30.35,-07:58:37.7,1.25,1.12,146.0,,,,
92,IC0091,01:18:39.43,+02:33:13.2,0.71,0.26,64.0,,,,
93,IC0092,01:19:48.50,+32:46:04.0,,,,,0468,,
94,IC0093,01:19:02.34,-17:03:37.4,1.21,0.56,171.0,,,1671,
95,IC0094,01:20:05.49,+32:43:02.4,,,,,,,
96,IC0095,01:19:17.88,-12:34:26.9,0.61,0.5,54.0,,,,
97,IC0096,01:20:33.22,+29:37:02.1,0.78,0.3,44.0,,,,
98,IC0097,01:20:02.00,+14:51:39.8,,,,,0475,,
99,IC0098,01:20:54.88,-12:36:17.0,0.68,0.61,55.0,,,,
100,IC0099,01:22:27.36,-12:57:09.2,0.58,0.52,54.0,,,,
101,IC0100,01:22:53.96,-04:38:34.9,1.04,0.77,88.0,,,,
102,IC0101,01:24:08.55,+09:55:49.9,1.24,0.59,124.0,,,,
103,IC0102,01:24:26.33,+09:53:11.6,0.75,0.37,111.0,,,,
104,IC0103,01:24:36.44,+02:02:39.3,0.95,0.67,128.0,,,,
105,IC0104,01:24:33.60,-01:27:24.2,,,,,,,
106,IC0105,01:24:46.25,+02:04:31.0,0.58,0.29,47.0,,,,
107,IC0106,01:24:41.65,-01:35:13.5,,,,,0530,,
108,IC0107,01:25:24.66,+14:51:52.6,1.62,1.31,6.0,,,1700,
109,IC0108,01:24:38.96,-12:38:08.1,1.3,0.36,4.0,,,,
110,IC0109,01:25:13.09,+02:03:58.4,0.76,0.57,70.0,,,,
111,IC0110,01:25:46.60,+33:30:52.9,,,,,,,
112,IC0111,01:26:00.13,+33:29:49.6,,,,,,,
113,IC0112,01:26:03.02,+11:26:34.7,0.72,0.37,127.0,,,,
114,IC0113,01:26:25.50,+19:11:31.1,0.35,0.26,160.0,,,,
115,IC0114,01:26:22.58,+09:54:35.8,1.4,0.56,154.0,,,,
116,IC0115,01:26:54.44,+19:12:52.9,0.76,0.76,80.0,,,,
117,IC0116,01:26:50.57,-04:58:56.2,0.87,0.56,125.0,,,,
118,IC0117,01:27:25.42,-01:54:46.7,,,,,0560,,
119,IC0118,01:27:36.04,-04:59:50.9,0.72,0.55,31.0,,,,
120,IC0119,01:27:55.02,-02:02:25.7,1.19,0.58,77.0,,,,
121,IC0120,01:28:12.96,-01:54:55.9,0.92,0.33,138.0,,,,
122,IC0121,01:28:21.78,+02:30:46.9,1.0,0.62,108.0,,,,
123,IC0122,01:28:13.20,-14:50:20.0,0.65,0.32,14.0,,,,
124,IC0123,01:28:51.46,+02:26:47.2,0.67,0.47,44.0,,,,
125,IC0124,01:29:09.08,-01:56:13.3,,,,,,,
126,IC0125,01:29:18.35,-13:16:47.4,0.61,0.59,53.0,,,,
127,IC0126,01:29:47.86,-01:59:01.5,0.89,0.81,30.0,,,,
128,IC0127,01:29:47.61,-06:58:48.2,1.69,0.45,110.0,,,,
129,IC0128,01:31:23.87,-12:37:27.8,0.82,0.61,165.0,,,,
130,IC0129,01:31:31.26,-12:39:15.8,1.23,0.6,63.0,,,,
131,IC0130,01:31:28.74,-15:35:29.8,0.75,0.64,27.0,,,,
132,IC0131,01:33:14.58,+30:45:11.7,0.3,,,,,,
133,IC0132,01:33:15.92,+30:56:44.2,0.67,0.55,,,,,
134,IC0133,01:33:15.18,+30:53:18.2,0.45,0.45,,,,,
135,IC0134,01:33:25.00,+30:54:02.4,,,,,,,
136,IC0135,01:34:15.53,+30:37:12.3,0.4,,,,,,
137,IC0136,01:34:16.04,+30:33:43.4,,,,,,,
138,IC0137,01:33:38.91,+30:31:21.0,,,,,,,
139,IC0138,01:33:01.98,-00:41:23.4,1.12,0.74,23.0,,,,
140,IC0139,01:33:59.24,+30:34:02.8,,,,,,,
141,IC0140,01:33:58.17,+30:33:00.5,,,,,,,
142,IC0141,01:32:51.71,-14:48:52.6,1.23,0.91,5.0,,,,
143,IC0142,01:33:55.53,+30:45:28.1,0.5,,,,,,
144,IC0143,01:34:10.93,+30:46:35.1,0.3,,,,,,
145,IC0144,01:37:40.85,-13:18:52.8,0.74,0.67,46.0,,,,
146,IC0145,01:38:38.48,+00:44:29.4,0.69,0.5,6.0,,,,
147,IC0146,01:38:39.79,-17:49:52.3,,,,,0648,,
148,IC0147,01:39:59.75,-14:51:45.5,0.76,0.42,58.0,,,,
149,IC0148,01:42:26.97,+13:58:37.3,1.82,0.57,45.0,,,,
150,IC0149,01:42:25.38,-16:18:01.5,1.27,0.41,82.0,,,,
151,IC0150,01:42:57.52,+04:12:00.6,0.88,0.5,137.0,,,,
152,IC0151,01:43:57.47,+13:12:09.4,,,,,,,
153,IC0152,01:44:07.39,+13:02:09.1,,,,,,,
154,IC0153,01:44:36.21,+12:37:44.2,,,,,,,
155,IC0154,01:45:16.27,+10:38:57.1,1.19,0.23,66.0,,,,
156,IC0155,01:47:32.33,+60:36:39.0,,,,,,,
157,IC0156,01:45:29.21,+10:33:09.8,1.51,1.33,105.0,,,,
158,IC0157,01:45:42.40,+12:52:24.0,,,,,,,
159,IC0158,01:45:53.52,-06:56:08.5,0.7,0.53,140.0,,,,
160,IC0159,01:46:25.05,-08:38:11.8,1.35,0.75,28.0,,,,
161,IC0160,01:46:29.56,-13:14:51.8,1.28,0.86,85.0,,,,
162,IC0161,01:48:43.74,+10:30:28.4,0.9,0.54,67.0,,,,
163,IC0162,01:48:53.43,+10:31:17.8,1.32,1.28,85.0,,,,
164,IC0163,01:49:14.99,+20:42:40.7,1.62,0.73,90.0,,,,
165,IC0164,01:49:08.41,-03:54:15.8,1.58,1.35,167.0,,,,
166,IC0165,01:50:14.02,+27:38:44.4,,,,,0684,,
167,IC0166,01:52:23.82,+61:51:09.4,7.5,,,,,,
168,IC0167,01:51:08.56,+21:54:46.1,1.6,0.94,107.0,,,,
